status	productId	score	productName	matchedTitle	imageUrl	sourceDoc
MATCH	109	100	Áo Polo Nam Adidas Club - Xanh Dương	Áo Polo Nam Adidas Club - Xanh Dương	/images/products/catalog/pickleball/quan-ao-pickleball/ao-polo-nam-adidas-club-xanh-duong.png	PickleBall\quan-ao-pickleball\Quần áo pickleball.docx
MATCH	110	100	Đầm Nữ Adidas Club Tennis Climacool - Đen	Đầm Nữ Adidas Club Tennis Climacool - Đen	/images/products/catalog/pickleball/quan-ao-pickleball/dam-nu-adidas-club-tennis-climacool-den.png	PickleBall\quan-ao-pickleball\Quần áo pickleball.docx
MATCH	111	100	Chân Váy Nữ Adidas Seasonal Essentials 3-Stripes - Hồng	Chân Váy Nữ Adidas Seasonal Essentials 3-Stripes - Hồng	/images/products/catalog/pickleball/quan-ao-pickleball/chan-vay-nu-adidas-seasonal-essentials-3-stripes-hong.png	PickleBall\quan-ao-pickleball\Quần áo pickleball.docx
MATCH	114	100	Giày Pickleball Nam JOOLA Bainbridge Atlantic - Xanh Dương	Giày Pickleball Nam JOOLA Bainbridge Atlantic - Xanh Dương	/images/products/catalog/pickleball/giay-pickleball/giay-pickleball-nam-joola-bainbridge-atlantic-xanh-duong.png	PickleBall\giay-pickleball\giày pickleball.docx
MATCH	115	100	Giày Pickleball Nam Asics Gel-Dedicate 8 - Xanh Dương	Giày Pickleball Nam Asics Gel-Dedicate 8 - Xanh Dương	/images/products/catalog/pickleball/giay-pickleball/giay-pickleball-nam-asics-gel-dedicate-8-xanh-duong.png	PickleBall\giay-pickleball\giày pickleball.docx
MATCH	116	100	Giày Pickleball Nữ Asics Gel-Dedicate 8 - Xám	Giày Pickleball Nữ Asics Gel-Dedicate 8 - Xám	/images/products/catalog/pickleball/giay-pickleball/giay-pickleball-nu-asics-gel-dedicate-8-xam.png	PickleBall\giay-pickleball\giày pickleball.docx
MATCH	117	100	Giày Tennis Nữ Asics Upcourt 6 - Trắng	Giày Tennis Nữ Asics Upcourt 6 - Trắng	/images/products/catalog/pickleball/giay-pickleball/giay-tennis-nu-asics-upcourt-6-trang.png	PickleBall\giay-pickleball\giày pickleball.docx
MATCH	118	100	Giày Pickleball Nữ JOOLA Bainbridge Meadow - Xanh Lá	Giày Pickleball Nữ JOOLA Bainbridge Meadow - Xanh Lá	/images/products/catalog/pickleball/giay-pickleball/giay-pickleball-nu-joola-bainbridge-meadow-xanh-la.png	PickleBall\giay-pickleball\giày pickleball.docx
MATCH	119	100	Vợt Pickleball JOOLA Scorpeus Pro V Anna 14Mm - Vàng	Vợt Pickleball JOOLA Scorpeus Pro V Anna 14Mm - Vàng	/images/products/catalog/pickleball/vot-pickleball/vot-pickleball-joola-scorpeus-pro-v-anna-14mm-vang.png	PickleBall\vot-pickleball\vợt pickleball.docx
MATCH	121	100	Bộ Vợt Waboba Pickleball - Nhiều Màu	Bộ Vợt Waboba Pickleball - Nhiều Màu	/images/products/catalog/pickleball/vot-pickleball/bo-vot-waboba-pickleball-nhieu-mau.png	PickleBall\vot-pickleball\vợt pickleball.docx
MATCH	124	100	Túi Pickleball Sypik - Trắng ngọc trai chính hãng	Túi Pickleball Sypik - Trắng ngọc trai chính hãng	/images/products/catalog/pickleball/phu-kien-pickleball/tui-dung-vot/tui-pickleball-sypik-trang-ngoc-trai-chinh-hang.png	PickleBall\phu-kien-pickleball\Túi đựng vợt\Túi đựng vợt.docx
MATCH	125	100	Túi Pickleball Joola Tour Elite Orange & Gray	Túi Pickleball Joola Tour Elite Orange & Gray	/images/products/catalog/pickleball/phu-kien-pickleball/tui-dung-vot/tui-pickleball-joola-tour-elite-orange-gray.png	PickleBall\phu-kien-pickleball\Túi đựng vợt\Túi đựng vợt.docx
MATCH	126	96	Bóng Pickleball Facolos F-Eco Xanh	Bóng Pickleball Facolos F-Eco Xanh (Hộp 3 quả)	/images/products/catalog/pickleball/phu-kien-pickleball/bong/bong-pickleball-facolos-f-eco-xanh-hop-3-qua.png	PickleBall\phu-kien-pickleball\bóng\Bóng pickleBall.docx
MATCH	127	96	Bóng Pickleball Joola HC-40	Bóng Pickleball Joola HC-40 (Hộp 3 quả)	/images/products/catalog/pickleball/phu-kien-pickleball/bong/bong-pickleball-joola-hc-40-hop-3-qua.png	PickleBall\phu-kien-pickleball\bóng\Bóng pickleBall.docx
MATCH	129	96	Bóng Pickleball Facolos F-Pro Advanced Hồng	Bóng Pickleball Facolos F-Pro Advanced Hồng (Quả)	/images/products/catalog/pickleball/phu-kien-pickleball/bong/bong-pickleball-facolos-f-pro-advanced-hong-qua.png	PickleBall\phu-kien-pickleball\bóng\Bóng pickleBall.docx
UNMATCHED	82	0	Tất chống trượt bóng đá Fox - Đen			
UNMATCHED	83	0	Bọc ống đồng bóng đá Adidas Tiro - Trắng			
UNMATCHED	84	0	Găng tay thủ môn Nike Grip3 - Đen/Cam			
UNMATCHED	85	0	Túi rút đựng giày bóng đá Nike Brasilia - Đen			
UNMATCHED	86	0	Băng keo thể thao quấn cơ cuộn 5cm - Màu Da			
UNMATCHED	87	0	Băng đội trưởng (Captain Armband) - Đỏ			
UNMATCHED	88	0	Bó gối thể thao dệt kim PJ - Xám			
UNMATCHED	89	0	Bình nước thể thao bóng đá Lock&Lock 700ml			
UNMATCHED	90	0	Băng đô thấm mồ hôi trán Adidas - Trắng			
UNMATCHED	91	0	Túi xách thể thao bóng đá Adidas Duffel Bag			
UNMATCHED	92	0	Bộ quần áo bóng đá CLB Manchester United Sân nhà 23/24			
UNMATCHED	93	0	Bộ quần áo bóng đá CLB Real Madrid Sân nhà 23/24			
UNMATCHED	94	0	Áo thi đấu ĐTQG Việt Nam 2024 Chính Hãng			
UNMATCHED	95	0	Bộ quần áo bóng đá Bulbal Olas - Xanh Ngọc			
UNMATCHED	96	0	Bộ quần áo bóng đá Kamito Gowo - Đỏ			
UNMATCHED	97	0	Bộ quần áo bóng đá Kamito Gowo - Trắng			
UNMATCHED	98	0	Bộ quần áo bóng đá Keepfly Ultra - Vàng			
UNMATCHED	99	0	Áo di chuyển Polo bóng đá đội tuyển Anh			
UNMATCHED	100	0	Bộ quần áo thủ môn Bulbal - Xanh Neon			
UNMATCHED	101	0	Bộ quần áo trọng tài bóng đá chuyên nghiệp - Đen			
UNMATCHED	112	0	Áo Thun Thể Thao Nữ Lululemon Swiftly Tech Short Sleeve 2.0			
UNMATCHED	113	0	Quần Short Thể Thao Nam Nike Dri-FIT Advantage 7"			
UNMATCHED	120	0	Vợt Pickleball Prince Response Pro - Đen/Đỏ			
UNMATCHED	122	0	Vợt Pickleball JOOLA Ben Johns Perseus CFS 16mm			
UNMATCHED	123	0	Vợt Pickleball Selkirk Vanguard Power Air Invikta			
UNMATCHED	128	0	Bóng Pickleball Diadem Official Indoor Ball			
