productTitle	imageUrl	sourceDoc	sourceImage
Giày Pickleball Nam Asics Gel-Dedicate 8 - Xanh Dương	/images/products/catalog/pickleball/giay-pickleball/giay-pickleball-nam-asics-gel-dedicate-8-xanh-duong.png	PickleBall\giay-pickleball\giày pickleball.docx	media/image2.png
Giày Pickleball Nữ Asics Gel-Dedicate 8 - Xám	/images/products/catalog/pickleball/giay-pickleball/giay-pickleball-nu-asics-gel-dedicate-8-xam.png	PickleBall\giay-pickleball\giày pickleball.docx	media/image3.png
Giày Tennis Nữ Asics Upcourt 6 - Trắng	/images/products/catalog/pickleball/giay-pickleball/giay-tennis-nu-asics-upcourt-6-trang.png	PickleBall\giay-pickleball\giày pickleball.docx	media/image4.png
Giày Pickleball Nữ JOOLA Bainbridge Meadow - Xanh Lá	/images/products/catalog/pickleball/giay-pickleball/giay-pickleball-nu-joola-bainbridge-meadow-xanh-la.png	PickleBall\giay-pickleball\giày pickleball.docx	media/image1.png
Bóng Pickleball Facolos F-Eco Xanh (Hộp 3 quả)	/images/products/catalog/pickleball/phu-kien-pickleball/bong/bong-pickleball-facolos-f-eco-xanh-hop-3-qua.png	PickleBall\phu-kien-pickleball\bóng\Bóng pickleBall.docx	media/image2.png
Bóng Pickleball Joola HC-40 (Hộp 3 quả)	/images/products/catalog/pickleball/phu-kien-pickleball/bong/bong-pickleball-joola-hc-40-hop-3-qua.png	PickleBall\phu-kien-pickleball\bóng\Bóng pickleBall.docx	media/image5.png
Bóng Pickleball Joola Heleus (4 quả)	/images/products/catalog/pickleball/phu-kien-pickleball/bong/bong-pickleball-joola-heleus-4-qua.png	PickleBall\phu-kien-pickleball\bóng\Bóng pickleBall.docx	media/image3.png
Bóng Pickleball Diadem Oﬃcial Pickleball Ball Outdoor (bịch 50 quả)	/images/products/catalog/pickleball/phu-kien-pickleball/bong/bong-pickleball-diadem-official-pickleball-ball-outdoor-bich-50-qua.png	PickleBall\phu-kien-pickleball\bóng\Bóng pickleBall.docx	media/image6.png
Bóng Pickleball Diadem Official Pickleball Indoor Ball (Hộp 3 Quả)	/images/products/catalog/pickleball/phu-kien-pickleball/bong/bong-pickleball-diadem-official-pickleball-indoor-ball-hop-3-qua.png	PickleBall\phu-kien-pickleball\bóng\Bóng pickleBall.docx	media/image4.png
Bóng Pickleball Facolos F-Pro Advanced Hồng (Quả)	/images/products/catalog/pickleball/phu-kien-pickleball/bong/bong-pickleball-facolos-f-pro-advanced-hong-qua.png	PickleBall\phu-kien-pickleball\bóng\Bóng pickleBall.docx	media/image1.png
Túi Pickleball Sypik - Trắng ngọc trai chính hãng	/images/products/catalog/pickleball/phu-kien-pickleball/tui-dung-vot/tui-pickleball-sypik-trang-ngoc-trai-chinh-hang.png	PickleBall\phu-kien-pickleball\Túi đựng vợt\Túi đựng vợt.docx	media/image5.png
Túi Pickleball Sypik - Trắng vàng chính hãng	/images/products/catalog/pickleball/phu-kien-pickleball/tui-dung-vot/tui-pickleball-sypik-trang-vang-chinh-hang.png	PickleBall\phu-kien-pickleball\Túi đựng vợt\Túi đựng vợt.docx	media/image1.png
Túi Pickleball Sypik Pro - Đen Hồng	/images/products/catalog/pickleball/phu-kien-pickleball/tui-dung-vot/tui-pickleball-sypik-pro-den-hong.png	PickleBall\phu-kien-pickleball\Túi đựng vợt\Túi đựng vợt.docx	media/image2.png
Túi Pickleball Joola Tour Elite Blue & Yellow	/images/products/catalog/pickleball/phu-kien-pickleball/tui-dung-vot/tui-pickleball-joola-tour-elite-blue-yellow.png	PickleBall\phu-kien-pickleball\Túi đựng vợt\Túi đựng vợt.docx	media/image3.png
Túi Pickleball Joola Tour Elite Orange & Gray	/images/products/catalog/pickleball/phu-kien-pickleball/tui-dung-vot/tui-pickleball-joola-tour-elite-orange-gray.png	PickleBall\phu-kien-pickleball\Túi đựng vợt\Túi đựng vợt.docx	media/image4.png
Áo Thun Nam Nike Court Victory Dri-Fit Tennis - Xanh Lá	/images/products/catalog/pickleball/quan-ao-pickleball/ao-thun-nam-nike-court-victory-dri-fit-tennis-xanh-la.png	PickleBall\quan-ao-pickleball\Quần áo pickleball.docx	media/image4.png
Áo Polo Nam Adidas Club - Xanh Dương	/images/products/catalog/pickleball/quan-ao-pickleball/ao-polo-nam-adidas-club-xanh-duong.png	PickleBall\quan-ao-pickleball\Quần áo pickleball.docx	media/image2.png
Áo Polo Nữ Adidas Club - Xanh Dương	/images/products/catalog/pickleball/quan-ao-pickleball/ao-polo-nu-adidas-club-xanh-duong.png	PickleBall\quan-ao-pickleball\Quần áo pickleball.docx	media/image6.png
Áo Ba Lỗ Nữ Adidas Club Tennis Climacool - Xanh Dương	/images/products/catalog/pickleball/quan-ao-pickleball/ao-ba-lo-nu-adidas-club-tennis-climacool-xanh-duong.png	PickleBall\quan-ao-pickleball\Quần áo pickleball.docx	media/image3.png
Đầm Nữ Adidas Club Tennis Climacool - Đen	/images/products/catalog/pickleball/quan-ao-pickleball/dam-nu-adidas-club-tennis-climacool-den.png	PickleBall\quan-ao-pickleball\Quần áo pickleball.docx	media/image1.png
Chân Váy Nữ Adidas Seasonal Essentials 3-Stripes - Hồng	/images/products/catalog/pickleball/quan-ao-pickleball/chan-vay-nu-adidas-seasonal-essentials-3-stripes-hong.png	PickleBall\quan-ao-pickleball\Quần áo pickleball.docx	media/image5.png
Vợt Pickleball JOOLA Scorpeus Pro V Anna 14Mm - Vàng	/images/products/catalog/pickleball/vot-pickleball/vot-pickleball-joola-scorpeus-pro-v-anna-14mm-vang.png	PickleBall\vot-pickleball\vợt pickleball.docx	media/image2.png
Vợt Pickleball JOOLA Perseus Pro V Simone Jardim 16Mm - Xanh Dương	/images/products/catalog/pickleball/vot-pickleball/vot-pickleball-joola-perseus-pro-v-simone-jardim-16mm-xanh-duong.png	PickleBall\vot-pickleball\vợt pickleball.docx	media/image3.png
Vợt Pickleball JOOLA Agassi Pro V Andre Agassi 16Mm - Xanh Dương	/images/products/catalog/pickleball/vot-pickleball/vot-pickleball-joola-agassi-pro-v-andre-agassi-16mm-xanh-duong.png	PickleBall\vot-pickleball\vợt pickleball.docx	media/image4.png
Vợt Pickleball JOOLA Hyperion Pro V Ben Johns Bolt 16Mm - Xanh Dương	/images/products/catalog/pickleball/vot-pickleball/vot-pickleball-joola-hyperion-pro-v-ben-johns-bolt-16mm-xanh-duong.png	PickleBall\vot-pickleball\vợt pickleball.docx	media/image7.png
Vợt Pickleball JOOLA Perseus Double Vision 16Mm	/images/products/catalog/pickleball/vot-pickleball/vot-pickleball-joola-perseus-double-vision-16mm.png	PickleBall\vot-pickleball\vợt pickleball.docx	media/image9.png
Vợt Pickleball Onix Z5 Graphite Mod - Xám	/images/products/catalog/pickleball/vot-pickleball/vot-pickleball-onix-z5-graphite-mod-xam.png	PickleBall\vot-pickleball\vợt pickleball.docx	media/image8.png
Vợt Pickleball Onix Z3 (V2) - Xanh Dương	/images/products/catalog/pickleball/vot-pickleball/vot-pickleball-onix-z3-v2-xanh-duong.png	PickleBall\vot-pickleball\vợt pickleball.docx	media/image1.png
